,Open,High,Low,Close,Volume,datewotime,ordinal_values,cases,deaths,coronadate
0,59.16999816894531,59.72999954223633,57.68000030517578,58.34000015258789,648335,2020-01-21,737445,1,0,2020-01-21
1,58.2599983215332,58.380001068115234,56.02999877929688,56.7400016784668,620119,2020-01-22,737446,1,0,2020-01-22
2,56.11000061035156,56.27000045776367,54.77000045776367,55.59000015258789,703995,2020-01-23,737447,1,0,2020-01-23
3,55.68999862670898,55.95000076293945,53.84999847412109,54.18999862670898,586195,2020-01-24,737448,2,0,2020-01-24
4,53.70000076293945,53.709999084472656,52.130001068115234,53.13999938964844,712880,2020-01-27,737451,5,0,2020-01-27
5,52.77000045776367,54.060001373291016,52.68000030517578,53.47999954223633,633963,2020-01-28,737452,5,0,2020-01-28
6,53.970001220703125,54.369998931884766,52.810001373291016,53.33000183105469,624979,2020-01-29,737453,5,0,2020-01-29
7,53.09000015258789,53.20000076293945,51.65999984741211,52.13999938964844,720123,2020-01-30,737454,6,0,2020-01-30
8,52.91999816894531,53.36000061035156,50.970001220703125,51.560001373291016,827907,2020-01-31,737455,7,0,2020-01-31
9,51.0099983215332,51.970001220703125,49.79999923706055,50.11000061035156,876044,2020-02-03,737458,11,0,2020-02-03
10,49.93999862670898,51.54999923706055,49.310001373291016,49.61000061035156,859357,2020-02-04,737459,11,0,2020-02-04
11,49.5099983215332,51.880001068115234,49.470001220703125,50.75,887946,2020-02-05,737460,12,0,2020-02-05
12,51.16999816894531,52.20000076293945,50.2400016784668,50.95000076293945,750659,2020-02-06,737461,12,0,2020-02-06
13,51.11000061035156,51.47999954223633,50.09000015258789,50.31999969482422,768345,2020-02-07,737462,12,0,2020-02-07
14,50.119998931884766,50.4900016784668,49.41999816894531,49.56999969482422,715894,2020-02-10,737465,13,0,2020-02-10
15,49.61000061035156,50.68999862670898,49.58000183105469,49.93999862670898,725733,2020-02-11,737466,13,0,2020-02-11
16,49.959999084472656,51.72999954223633,49.95000076293945,51.16999816894531,795256,2020-02-12,737467,14,0,2020-02-12
